artist_name,song_title,spotify_id,spotify_song,spotify_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,Halsey,0.0604,0.675,181279.0,0.751,0.0,0.0,0.0893,-3.539,1.0,0.0296,118.384,4.0,0.612
Halsey Featuring Lauren Jauregui,Strangers,11EDhDAVDtGPoSar6ootYA,Strangers,Halsey,0.01,0.69,221206.0,0.784,4.08e-05,11.0,0.22,-4.724,1.0,0.056,109.969,4.0,0.284
Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,0.107,0.67,214802.0,0.585,1.11e-06,6.0,0.131,-4.861,0.0,0.0354,110.03,4.0,0.447
U2,With or Without You,6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,U2,0.000202,0.54,295516.0,0.429,0.355,2.0,0.141,-11.822,1.0,0.0285,110.171,4.0,0.113
U2,I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,U2,0.0135,0.564,277477.0,0.774,0.00191,1.0,0.0861,-9.424,1.0,0.0368,100.894,4.0,0.657
Jordan Davis,Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,Singles You Up,Jordan Davis,0.0491,0.491,182667.0,0.907,0.0,7.0,0.242,-3.594,1.0,0.0481,199.943,4.0,0.631
Bryson Tiller,Somethin Tells Me,3Jrs7cC2OJNlNSy9VnDOMZ,Somethin Tells Me,Bryson Tiller,0.0356,0.735,194267.0,0.588,0.0,5.0,0.107,-7.197,0.0,0.226,90.002,4.0,0.435
Bryson Tiller,Don't Get Too High,0OVhQZkNe7lh0fQeH96EFW,Don't Get Too High,Bryson Tiller,0.0148,0.88,209040.0,0.495,1.47e-06,1.0,0.121,-3.476,1.0,0.0695,124.024,4.0,0.469
Bryson Tiller,No Longer Friends,4IdAIZRVkwuQQnHpi529cn,No Longer Friends,Bryson Tiller,0.205,0.651,134747.0,0.663,0.0,11.0,0.105,-7.78,1.0,0.327,114.137,4.0,0.377
Bryson Tiller,Self-Made,2rUwQj4SWaP2anuGDtNpYR,Self-Made,Bryson Tiller,0.00304,0.932,167853.0,0.702,1.86e-05,7.0,0.267,-3.459,0.0,0.0904,143.001,4.0,0.533
Bryson Tiller,Run Me Dry,5GG3knKdxKWrNboRijxeKF,Run Me Dry,Bryson Tiller,0.393,0.646,169267.0,0.756,3e-05,9.0,0.202,-9.017,0.0,0.488,193.88,4.0,0.602
Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,Luke Combs,0.013,0.551,240760.0,0.801,6.03e-06,6.0,0.265,-5.069,1.0,0.0303,128.027,4.0,0.625
The Grateful Dead,Uncle John's Band,0kp728Knw5PYvU3QzMZ0yJ,Uncle John's Band - 2013 Remaster,Grateful Dead,0.496,0.701,284910.0,0.316,0.0,7.0,0.121,-14.723,1.0,0.0843,136.73,4.0,0.889
Vanessa Hudgens,Say OK,73qbBlEAcm2HfnAaSnP1II,Say OK,Vanessa Hudgens,0.00607,0.469,221867.0,0.689,0.00119,9.0,0.114,-7.017,0.0,0.0475,126.505,3.0,0.531
Missy Elliott Featuring Lamb,I'm Better,2Kf9fwIOwZwd6Aw7OxfkF0,I'm Better (feat. Lamb),Missy Elliott,0.374,0.926,213120.0,0.354,0.0,10.0,0.49,-10.773,1.0,0.511,105.005,4.0,0.561
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need,6yMxfx9wpiuhhdb8vHDVMu,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),Meek Mill,0.0254,0.519,205373.0,0.57,0.0,1.0,0.0821,-7.366,1.0,0.202,164.155,4.0,0.317
"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,Major Lazer,0.132,0.738,225850.0,0.814,9.64e-06,7.0,0.126,-4.414,0.0,0.0999,119.041,4.0,0.483
Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,0.00261,0.762,209320.0,0.7,1.56e-05,9.0,0.153,-6.021,0.0,0.0694,116.073,4.0,0.608
Dua Lipa,IDGAF,76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,0.0403,0.836,217947.0,0.544,0.0,7.0,0.0824,-5.975,1.0,0.0943,97.028,4.0,0.51
Sean Paul Featuring Sasha,I'm Still In Love With You,3MhdH8PxqH1FuQp3HBptUI,I'm Still in Love with You (feat. Sasha),Sean Paul,0.102,0.765,273360.0,0.666,0.0,7.0,0.116,-5.384,1.0,0.172,87.002,4.0,0.756
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,6KLEQtWFLL7dtLrt5UgjiB,(When You Gonna) Give It up to Me,Ameritz Top Tributes,0.295,0.799,244133.0,0.673,0.0,8.0,0.141,-6.352,1.0,0.089,96.041,4.0,0.627
Sean Paul,Temperature,0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,0.106,0.951,218573.0,0.6,0.0,0.0,0.0712,-4.675,0.0,0.0685,125.04,4.0,0.822
Sean Paul,Get Busy,5qTvkDrSfvwDv6RBjjcfQr,Get Busy,Sean Paul,0.615,0.735,211666.0,0.824,0.0,10.0,0.158,-4.143,0.0,0.036,100.202,4.0,0.726
Sean Paul,So Fine,3qdVKNSeUOiBoFDPv75LrN,So Fine,Sean Paul,0.0299,0.875,211480.0,0.843,0.0,6.0,0.0552,-3.292,0.0,0.246,136.974,4.0,0.586
Sean Paul,Like Glue,6pbCkvCENw0suVGr4Ckkae,Like Glue,Sean Paul,0.0811,0.757,232507.0,0.78,0.0,1.0,0.113,-5.038,1.0,0.319,97.917,4.0,0.59
Johnny Nash,Loving You,4NJg6bYAvSBb88qO668pxI,Loving You,Johnny Nash,0.0247,0.372,161813.0,0.588,2.41e-06,2.0,0.106,-11.917,1.0,0.187,169.685,4.0,0.623
Jake Paul Featuring Team 10,It's Everyday Bro,4l62h4tiuUwn7eD6hxMlVQ,It's Everyday Bro,Jake Paul,0.00142,0.79,217678.0,0.714,0.0,1.0,0.111,-7.86,0.0,0.202,150.033,5.0,0.559
YoungBoy Never Broke Again,Untouchable,6xL9MJ2yt39HPPZPyGkRy8,Untouchable,YoungBoy Never Broke Again,0.0754,0.768,180706.0,0.79,1.79e-06,1.0,0.13,-5.091,1.0,0.191,84.95,4.0,0.398
SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,0.131,0.692,231253.0,0.684,0.0,6.0,0.156,-7.364,1.0,0.155,112.912,4.0,0.406
