year,metrics,count
1982,instrumentalness,0.40894558596761826
1982,liveness,0.31507295889649445
1982,loudness,0.1503385453202739
1982,speechiness,0.04475114484628423
1983,acousticness,0.08112482136422267
1983,danceability,0.5450949996452197
1983,energy,0.7417054925576219
1983,instrumentalness,0.46586207439044214
1983,liveness,0.45732665018753016
1983,loudness,0.26027240555662634
1983,speechiness,0.05270800514644447
1984,acousticness,0.055854772000604735
1984,danceability,0.6133316424593622
1984,energy,0.818454440946979
1984,instrumentalness,0.40105894656556207
1984,liveness,0.5166110179005301
1984,loudness,0.26278423496212144
1984,speechiness,0.020284894297251665
1985,acousticness,0.09327765963142465
1985,danceability,0.6389929769901066
1985,energy,0.8341223029378995
1985,instrumentalness,0.32130335728776266
1985,liveness,0.3285103147453159
1985,loudness,0.19372999441080885
