year,falsette,count
2005,6,2
2005,7,0
2005,8,1
2005,9,1
2005,10,0
2006,1,0
2006,2,16
2006,3,8
2006,4,8
2006,5,6
2006,6,2
2006,7,0
2006,8,0
2006,9,0
2006,10,0
2007,1,0
2007,2,26
2007,3,12
2007,4,12
2007,5,3
2007,6,2
2007,7,1
2007,8,0
2007,9,0
2007,10,0
2008,1,0
2008,2,24
2008,3,23
2008,4,8
2008,5,3
2008,6,1
2008,7,1
2008,8,0
2008,9,0
2008,10,0
2009,1,0
2009,2,30
2009,3,31
2009,4,6
2009,5,8
2009,6,1
2009,7,0
2009,8,0
2009,9,0
2009,10,1
2010,1,0
2010,2,32
2010,3,16
2010,4,11
2010,5,4
2010,6,1
2010,7,2
2010,8,0
2010,9,0
2010,10,0
2011,1,0
2011,2,21
2011,3,12
2011,4,11
2011,5,1
2011,6,1
2011,7,0
2011,8,1
2011,9,0
2011,10,0
2012,1,0
2012,2,21
2012,3,15
2012,4,7
2012,5,4
2012,6,0
2012,7,1
2012,8,0
2012,9,1
2012,10,0
2013,1,0
2013,2,20
2013,3,16
2013,4,11
2013,5,7
2013,6,2
2013,7,1
2013,8,0
2013,9,0
2013,10,0
2014,1,0
2014,2,24
2014,3,19
2014,4,14
2014,5,8
2014,6,2
2014,7,1
2014,8,1
2014,9,0
2014,10,1
2015,1,0
2015,2,20
2015,3,23
2015,4,15
2015,5,10
2015,6,2
2015,7,1
2015,8,2
2015,9,0
2015,10,0
2016,1,0
2016,2,23
2016,3,20
2016,4,13
2016,5,7
2016,6,3
2016,7,2
2016,8,0
2016,9,0
2016,10,0
2017,1,0
2017,2,28
2017,3,15
2017,4,11
2017,5,7
2017,6,3
2017,7,0
2017,8,1
2017,9,0
2017,10,0
2018,1,0
2018,2,27
2018,3,16
2018,4,11
2018,5,3
2018,6,2
2018,7,0
2018,8,0
2018,9,0
2018,10,0
2019,1,0
2019,2,5
2019,3,6
2019,4,9
2019,5,3
2019,6,1
2019,7,1
2019,8,0
2019,9,0
2019,10,0
